,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding
6/30/2019,AMZN,63.021 B,36.337 B,9.065 B,191.351 B,138.290 B,18.580 B,494 M
9/30/2019,AMZN,69.585 B,41.302 B,9.200 B,199.099 B,142.591 B,18.766 B,495 M
12/31/2019,AMZN,87.437 B,53.977 B,9.740 B,225.248 B,163.188 B,20.497 B,498 M
3/31/2020,AMZN,75.050 B,44.257 B,9.325 B,221.238 B,155.966 B,18.857 B,499 M
6/30/2020,AMZN,88.509 B,52.660 B,10.388 B,258.314 B,184.586 B,19.599 B,501 M
9/30/2020,AMZN,95.717 B,57.106 B,10.976 B,282.179 B,199.404 B,23.735 B,502 M
12/31/2020,AMZN,125.555 B,79.284 B,12.049 B,321.195 B,227.791 B,23.795 B,503 M
3/31/2021,AMZN,108.088 B,62.403 B,12.488 B,323.077 B,219.757 B,23.849 B,504 M
6/30/2021,AMZN,112.755 B,64.176 B,13.871 B,360.319 B,245.516 B,24.119 B,506 M
9/30/2021,AMZN,110.212 B,62.930 B,14.380 B,382.406 B,261.842 B,30.933 B,507 M
12/31/2021,AMZN,136.903 B,82.835 B,15.313 B,420.549 B,282.304 B,32.640 B,509 M
3/31/2022,AMZN,115.986 B,66.499 B,14.842 B,410.767 B,276.766 B,34.987 B,509 M
6/30/2022,AMZN,120.533 B,66.424 B,18.072 B,419.728 B,288.326 B,38.153 B,10.183 B
9/30/2022,AMZN,126.381 B,70.268 B,19.485 B,428.362 B,290.873 B,36.647 B,10.198 B
12/31/2022,AMZN,148.376 B,85.640 B,20.814 B,462.675 B,316.632 B,34.405 B,10.242 B
3/31/2018,GOOG,31.146 B,13.467 B,5.039 B,206.935 B,46.110 B,636 M,694.945 M
6/30/2018,GOOG,32.657 B,13.883 B,5.114 B,211.610 B,49.610 B,698 M,695.946 M
9/30/2018,GOOG,33.740 B,14.281 B,5.232 B,221.538 B,51.698 B,1.212 B,695.957 M
12/31/2018,GOOG,39.276 B,17.918 B,6.034 B,232.792 B,55.164 B,1.107 B,695.556 M
3/31/2019,GOOG,36.339 B,16.012 B,6.029 B,245.349 B,61.877 B,1.053 B,694.782 M
6/30/2019,GOOG,39.045 B,17.296 B,6.213 B,257.101 B,64.909 B,964 M,694.050 M
9/30/2019,GOOG,40.503 B,17.568 B,6.554 B,263.044 B,68.075 B,1.401 B,690.906 M
12/31/2019,GOOG,45.569 B,21.020 B,7.222 B,275.909 B,74.467 B,999 M,688.335 M
3/31/2020,GOOG,41.159 B,18.982 B,6.820 B,273.403 B,69.744 B,889 M,683.972 M
6/30/2020,GOOG,38.297 B,18.553 B,6.875 B,278.492 B,71.170 B,815 M,681.215 M
9/30/2020,GOOG,46.130 B,21.117 B,6.856 B,299.243 B,86.323 B,835 M,677.724 M
12/31/2020,GOOG,56.118 B,26.080 B,7.022 B,319.616 B,97.072 B,728 M,675.222 M
3/31/2021,GOOG,55.314 B,24.103 B,7.485 B,327.095 B,97.082 B,888 M,671.094 M
6/30/2021,GOOG,61.880 B,26.227 B,7.675 B,335.387 B,97.822 B,907 M,667.637 M
9/30/2021,GOOG,64.928 B,27.621 B,7.694 B,347.403 B,102.836 B,1.278 B,664.682 M
12/31/2021,GOOG,75.140 B,32.988 B,8.708 B,359.268 B,107.633 B,1.170 B,662.121 M
3/31/2022,GOOG,68.059 B,29.599 B,9.119 B,357.096 B,103.092 B,1.369 B,658.763 M
6/30/2022,GOOG,69.743 B,30.104 B,9.841 B,355.185 B,99.766 B,1.980 B,13.078 B
9/30/2022,GOOG,69.420 B,31.158 B,10.273 B,358.255 B,104.629 B,3.156 B,12.971 B
12/31/2022,GOOG,74.291 B,35.342 B,10.267 B,365.264 B,109.120 B,2.670 B,12.849 B
3/31/2018,AAPL,61.137 B,37.715 B,3.378 B,367.502 B,240.624 B,7.662 B,4.943 B
6/30/2018,AAPL,53.265 B,32.844 B,3.701 B,349.197 B,234.248 B,5.936 B,4.843 B
9/30/2018,AAPL,62.900 B,38.816 B,3.750 B,365.725 B,258.578 B,3.956 B,4.755 B
12/31/2018,AAPL,83.420 B,52.279 B,3.902 B,373.719 B,255.827 B,4.988 B,4.730 B
3/31/2019,AAPL,57.005 B,36.194 B,3.948 B,341.998 B,236.138 B,4.884 B,4.607 B
6/30/2019,AAPL,52.943 B,33.582 B,4.257 B,322.239 B,225.783 B,3.355 B,4.531 B
9/30/2019,AAPL,64.040 B,39.727 B,4.110 B,338.516 B,248.028 B,4.106 B,4.443 B
12/31/2019,AAPL,91.034 B,56.602 B,4.451 B,340.618 B,251.087 B,4.097 B,4.385 B
3/31/2020,AAPL,57.556 B,35.943 B,4.565 B,320.400 B,241.975 B,3.334 B,4.324 B
6/30/2020,AAPL,58.988 B,37.005 B,4.758 B,317.344 B,245.062 B,3.978 B,4.284 B
9/30/2020,AAPL,64.698 B,40.009 B,4.978 B,323.888 B,258.549 B,4.061 B,16.977 B
12/31/2020,AAPL,110.801 B,67.111 B,5.163 B,354.054 B,287.830 B,4.973 B,16.823 B
3/31/2021,AAPL,88.914 B,51.505 B,5.262 B,337.158 B,267.980 B,5.219 B,16.686 B
6/30/2021,AAPL,80.769 B,46.179 B,5.717 B,329.840 B,265.560 B,5.178 B,16.557 B
9/30/2021,AAPL,82.688 B,48.186 B,5.772 B,351.002 B,287.912 B,6.580 B,16.427 B
12/31/2021,AAPL,123.251 B,69.702 B,6.306 B,381.191 B,309.259 B,5.876 B,16.341 B
3/31/2022,AAPL,96.587 B,54.719 B,6.387 B,350.662 B,283.263 B,5.460 B,16.208 B
6/30/2022,AAPL,82.240 B,47.074 B,6.797 B,336.309 B,278.202 B,5.433 B,16.095 B
9/30/2022,AAPL,89.319 B,52.051 B,6.761 B,352.755 B,302.083 B,4.946 B,15.943 B
12/31/2022,AAPL,116.151 B,66.822 B,7.709 B,346.747 B,290.020 B,6.820 B,15.842 B
3/31/2018,VZ,31.772 B,13.255 B,0,264.516 B,220.711 B,1.285 B,4.104 B
6/30/2018,VZ,32.203 B,13.631 B,0,263.303 B,223.283 B,1.102 B,4.135 B
9/30/2018,VZ,32.607 B,13.331 B,0,265.562 B,222.991 B,1.270 B,4.136 B
12/31/2018,VZ,34.281 B,15.291 B,0,264.829 B,262.123 B,1.336 B,4.137 B
3/31/2019,VZ,32.128 B,12.990 B,0,283.947 B,275.436 B,1.417 B,4.138 B
